Rewards,Lengths,Loss,Q1,Best_Distances
63.5,72,0.29604,5.72349,706
106.6,167,0.63357,5.77793,1152
59.95,93,0.6981,5.73504,682
79.2,130,0.60769,5.72928,870
24.6,35,0.57682,5.73124,315
63.5,90,0.69704,5.70386,710
193.6,224,0.58526,5.74743,2023
60.65,96,0.58822,5.74509,696
131.8,215,0.62397,5.73349,1416
63.8,93,0.76739,5.76421,714
73.2,95,0.62386,5.70032,809
103.4,160,0.49936,5.77867,1123
24.25,31,0.96688,5.73827,309
25.7,31,0.56346,5.77501,316
20.0,52,0.7467,5.72565,273
61.65,92,0.74144,5.69062,689
104.25,162,0.62627,5.74025,1128
156.85,229,0.64162,5.70879,1669
80.6,164,0.62861,5.70547,898
76.2,183,0.65473,5.69431,856
61.9,76,0.7323,5.65076,691
23.25,35,0.56422,5.74399,299
25.0,33,0.69825,5.74254,314
104.45,141,0.51917,5.7201,1123
61.75,80,0.58621,5.72539,689
133.55,156,0.57826,5.72403,1432
78.1,141,0.67415,5.6814,862
59.75,61,0.55749,5.72932,675
25.1,31,0.50447,5.75116,310
102.25,216,0.5535,5.72648,1123
76.65,162,0.66799,5.6881,857
23.7,37,0.37602,5.71217,301
25.0,29,0.34016,5.75041,313
103.6,234,0.59147,5.70092,1128
22.8,34,0.80328,5.67997,302
76.7,140,0.61832,5.66625,853
25.0,33,0.69154,5.67209,314
24.6,34,0.46247,5.71091,305
232.2,468,0.55122,5.67488,2470
21.7,41,0.73377,5.66331,283
132.0,204,0.70948,5.61856,1412
21.8,38,0.81114,5.60997,288
63.2,78,0.51776,5.63433,710
62.9,81,0.67467,5.59924,703
25.5,32,0.64597,5.64743,314
60.2,80,0.51973,5.60742,679
24.7,28,0.73319,5.62135,310
62.0,97,0.58822,5.60977,697
23.8,34,0.61107,5.55788,297
103.25,172,0.58212,5.61512,1125
24.35,32,0.77968,5.6342,310
104.8,144,0.60115,5.60717,1127
24.4,33,0.50667,5.59516,313
61.8,82,0.50582,5.69428,691
134.85,202,0.67531,5.64634,1434
22.65,36,0.93278,5.65498,304
24.8,36,0.77872,5.57482,313
75.5,124,0.5847,5.68441,832
142.65,227,0.61107,5.662,1522
23.65,30,0.51969,5.72828,313
134.8,210,0.45486,5.67601,1438
192.45,300,0.52415,5.67995,2024
59.95,95,0.516,5.67426,703
60.5,74,0.59094,5.70907,677
25.5,36,0.45809,5.64953,315
263.95,485,0.68757,5.65453,2765
109.85,248,0.74009,5.66071,1232
24.2,31,0.85189,5.56809,311
65.15,92,0.74713,5.67714,723
62.9,87,0.72328,5.61452,704
77.0,176,0.59295,5.64807,862
23.45,40,0.656,5.70694,297
60.9,78,0.73128,5.63304,687
70.6,138,0.73251,5.62182,789
61.1,84,0.73519,5.62381,685
62.7,105,0.55396,5.70566,705
25.1,29,0.82815,5.63627,314
24.4,40,0.38341,5.66827,304
77.25,152,0.60226,5.67765,863
133.7,234,0.45383,5.68542,1436
104.65,149,0.55233,5.65773,1129
22.8,38,0.3105,5.70689,303
104.4,177,0.6958,5.66011,1130
135.6,134,0.55998,5.6555,1440
62.95,83,0.57585,5.68304,706
24.35,32,0.6087,5.74225,310
75.3,155,0.64799,5.67368,836
24.2,32,0.65765,5.60635,311
74.7,170,0.68668,5.65369,834
62.2,84,0.71099,5.62598,701
62.8,86,0.61707,5.67743,693
102.7,203,0.53342,5.67295,1128
63.3,85,0.73033,5.65657,711
106.4,195,0.577,5.69478,1155
134.4,155,0.54396,5.66485,1432
61.5,101,0.65982,5.63724,693
23.9,35,0.41581,5.70295,308
23.8,38,0.83172,5.70876,300
24.7,31,0.65878,5.58499,311
65.25,88,0.48156,5.71101,722
62.75,95,0.49155,5.66367,701
22.2,39,0.58913,5.66561,291
61.1,66,0.51481,5.62593,682
24.8,29,0.42572,5.70042,310
