Rewards,Lengths,Loss,Q1,Best_Distances
61.85,90,0.61488,5.42934,691
24.65,30,0.81672,5.56406,313
133.7,221,0.91507,5.48369,1434
23.8,35,0.75968,5.47942,303
24.5,30,0.97811,5.50912,314
24.8,29,0.86428,5.46422,311
25.1,32,0.8222,5.4475,315
25.0,30,1.02328,5.49028,314
25.0,30,1.01527,5.43983,314
25.0,30,0.83325,5.44877,314
25.0,30,0.55443,5.50759,314
134.75,157,0.85189,5.53481,1434
76.35,120,0.85288,5.51878,842
24.5,30,0.7587,5.62877,314
80.35,211,0.82812,5.5174,900
60.85,116,0.79984,5.5448,692
25.0,30,0.81472,5.52963,314
25.2,31,0.62244,5.54077,316
81.8,154,0.88515,5.50854,898
24.5,30,1.01464,5.50343,314
23.7,38,0.8826,5.4751,297
24.5,30,0.72589,5.5053,314
72.1,114,0.77934,5.49629,795
60.55,71,1.11562,5.46681,680
63.05,94,0.68327,5.47743,709
25.1,30,1.18802,5.54205,315
61.75,123,0.79942,5.48861,697
102.8,235,0.84475,5.4725,1130
62.3,90,0.76107,5.46632,699
62.4,76,1.00299,5.46314,697
24.65,28,0.69627,5.47089,312
25.0,30,0.74876,5.53067,313
24.7,30,0.98046,5.53145,311
24.9,30,0.50809,5.48774,313
103.3,207,0.74097,5.51266,1124
24.5,30,0.57313,5.47588,314
143.7,202,0.86468,5.46149,1530
24.5,30,0.91237,5.52007,314
142.35,271,0.80905,5.49358,1528
59.6,109,0.73248,5.50394,680
24.75,29,1.03534,5.58536,313
24.7,28,0.93054,5.54032,310
24.9,30,1.14468,5.47773,313
62.3,95,0.97159,5.49587,700
25.1,29,0.86311,5.60236,314
25.0,30,0.71163,5.5469,314
104.0,214,0.75585,5.54632,1128
60.9,242,0.94877,5.52231,722
62.3,167,0.88674,5.49093,714
60.5,100,0.82606,5.53839,682
24.8,31,0.6093,5.49183,312
25.0,30,0.82792,5.4922,314
63.95,81,0.92665,5.54411,711
62.55,103,0.77011,5.56379,706
60.6,86,0.77294,5.56265,681
63.3,87,1.11727,5.5246,708
24.9,29,0.84879,5.42352,312
25.5,30,0.64827,5.51096,314
24.7,29,0.74918,5.64184,310
79.5,242,0.74887,5.55199,898
76.25,141,0.97372,5.52469,851
24.75,30,0.66252,5.51893,314
23.6,36,0.84832,5.5607,301
25.0,30,0.48094,5.5784,314
74.6,198,0.88494,5.54754,838
24.6,31,0.80136,5.54094,315
25.0,30,1.07044,5.55614,314
24.8,31,0.68873,5.54902,312
25.0,30,0.71784,5.55966,314
61.15,122,0.76178,5.61024,690
24.85,31,0.87722,5.60879,315
24.9,30,1.13702,5.56874,313
60.1,126,0.99571,5.52855,684
61.05,87,0.9476,5.49242,683
24.75,30,0.69121,5.58564,314
24.9,30,0.63445,5.64239,313
62.85,75,0.65519,5.6528,699
24.65,35,0.95648,5.6089,309
24.4,30,0.56887,5.55127,313
24.7,30,1.00041,5.56908,310
25.0,33,0.83447,5.57043,314
25.0,30,0.71268,5.5726,314
23.7,34,1.11386,5.57483,301
25.0,30,0.71951,5.55626,314
104.9,158,0.78508,5.54147,1131
24.4,29,0.79277,5.57973,312
25.1,29,0.98282,5.54062,314
63.0,70,1.03002,5.49443,701
133.25,220,0.76833,5.53454,1431
103.85,185,0.7736,5.57765,1128
104.65,180,0.89624,5.51274,1130
23.85,31,1.00731,5.5689,315
104.35,146,0.95107,5.55923,1126
24.75,28,0.64533,5.52845,313
24.9,30,0.81995,5.52822,312
24.8,29,0.74713,5.52631,311
24.4,35,0.84053,5.53171,308
60.65,177,0.93762,5.49552,697
24.75,30,0.77068,5.61477,313
23.6,35,0.60449,5.55384,299
62.05,119,0.87381,5.54226,699
63.8,149,0.99992,5.49222,722
62.75,77,0.79866,5.47982,703
25.0,30,0.37575,5.60571,314
60.5,96,0.81889,5.5574,682
25.0,30,0.45102,5.49548,314
25.0,30,0.63231,5.58307,314
25.0,30,0.60499,5.6284,314
25.0,30,0.56182,5.62257,314
61.0,161,0.87182,5.58383,700
25.0,30,0.96607,5.44136,314
25.3,30,0.73448,5.50005,312
24.5,29,0.82399,5.64906,313
25.1,34,1.03004,5.67097,315
25.0,35,0.86059,5.56968,315
24.9,30,0.79279,5.53747,313
24.8,35,0.6458,5.60836,313
103.65,196,0.89845,5.58214,1130
24.75,30,0.97843,5.51002,314
24.9,29,1.21691,5.55661,312
82.2,130,0.87944,5.54413,900
61.05,113,0.68304,5.59049,693
25.05,35,0.75697,5.65348,313
24.5,30,1.34471,5.60137,314
25.2,31,1.17607,5.47268,316
25.4,34,0.63184,5.47839,313
24.5,30,0.79484,5.61123,314
25.0,30,0.68506,5.67837,314
25.0,30,0.75968,5.66923,314
25.0,30,0.84174,5.64844,314
60.2,76,0.86215,5.53588,675
73.85,211,0.67586,5.64772,836
76.5,193,0.79516,5.62637,861
23.75,33,1.158,5.5633,304
25.1,30,0.90147,5.49256,314
25.0,30,0.58901,5.52396,314
63.0,76,0.90265,5.63125,703
24.9,30,0.53368,5.61198,312
25.1,31,0.85151,5.63005,315
25.0,34,0.69249,5.62312,314
73.1,155,0.91492,5.58525,820
80.7,209,0.72171,5.60312,900
24.5,30,1.12634,5.55942,314
25.2,29,0.98065,5.51605,315
25.0,30,0.83334,5.52268,313
82.3,127,0.95847,5.55466,899
24.4,30,0.85957,5.58933,313
103.6,216,0.93894,5.58526,1130
63.5,83,0.80268,5.51191,714
25.0,30,0.68443,5.59941,314
60.95,74,0.80191,5.60911,679
24.85,30,0.67565,5.55395,315
24.8,28,0.95077,5.58754,311
25.2,30,0.47642,5.59409,315
24.8,35,0.83696,5.64294,312
63.2,82,1.11239,5.56327,706
24.9,30,0.73758,5.50992,313
25.0,30,0.71079,5.57009,314
24.8,28,0.77388,5.66141,311
62.75,142,0.84665,5.58393,711
75.9,167,0.83801,5.6074,850
62.8,89,1.00389,5.60393,703
24.65,30,0.70487,5.51143,312
25.1,28,0.73512,5.59482,314
103.0,231,0.74858,5.62565,1127
24.6,29,0.83292,5.62727,314
63.0,78,0.8753,5.5625,703
25.4,30,1.08115,5.58548,313
103.5,212,0.86133,5.54148,1127
24.0,30,0.75789,5.68531,314
25.0,30,0.93899,5.6089,314
23.7,36,1.15491,5.48881,301
24.9,30,0.89608,5.41713,313
103.5,216,0.92505,5.53428,1129
61.6,98,0.63513,5.55996,698
65.35,85,0.81342,5.55598,724
74.15,205,0.82442,5.54967,837
23.1,34,0.77929,5.61351,299
24.9,30,0.99751,5.5887,313
61.25,196,0.70173,5.5423,707
24.95,30,1.06815,5.50991,311
24.5,30,0.54921,5.43602,314
25.1,31,0.92315,5.47808,315
24.1,31,0.81924,5.52504,305
24.7,30,0.83658,5.52673,311
62.55,81,1.06422,5.46487,697
24.75,30,0.60814,5.54433,314
24.9,30,0.82067,5.6188,313
61.2,125,0.86083,5.50602,694
25.1,30,1.1336,5.52065,315
63.5,82,1.03431,5.49391,704
24.5,30,0.75022,5.46426,314
24.9,30,0.72327,5.52406,313
24.9,29,1.25566,5.57252,312
23.7,38,0.82097,5.50758,302
76.3,173,0.61042,5.55826,850
24.5,30,0.65258,5.52508,314
25.0,30,0.92421,5.53689,314
63.9,142,0.92211,5.51369,722
24.4,34,1.0658,5.49813,303
24.7,30,0.44387,5.47329,315
24.9,29,1.24453,5.53735,312
25.1,29,0.70486,5.52108,314
24.9,30,0.76419,5.5235,313
24.8,31,0.76119,5.5321,312
25.4,29,1.08426,5.5604,312
60.4,116,1.01,5.52532,690
76.15,139,0.79733,5.5229,844
74.75,153,0.95061,5.48769,833
24.5,30,1.49692,5.50083,314
24.9,31,0.83026,5.46507,313
63.85,73,0.92799,5.57087,708
63.75,81,0.85548,5.4859,714
25.2,29,0.73264,5.5109,315
25.0,30,0.59424,5.5722,314
25.2,31,0.98713,5.55595,316
25.0,31,0.98334,5.47013,314
